Date,Open,High,Low,Close,Volume
04/01/2000,289.5,289.5,280,283.7,21621
05/01/2000,283.7,285,281,282.1,25448
06/01/2000,281.6,282.8,280.2,282.4,19055
07/01/2000,282.5,284.5,282,282.9,11266
10/01/2000,282.4,283.9,281.8,282.7,30603
11/01/2000,282.4,285.3,281.9,284.4,13500
12/01/2000,284.5,285,282.5,283.7,17841
13/01/2000,283.5,285.9,282.9,285.1,12171
14/01/2000,285.2,285.6,284,284.9,32339
18/01/2000,286.1,289.8,285.9,289.6,28615
19/01/2000,289.6,291,287.5,290.3,24097
20/01/2000,290.3,290.7,288.4,289.3,20707
21/01/2000,289,290.3,287.4,289.7,25726
24/01/2000,289.7,289.7,286.3,288.1,32140
25/01/2000,288,291.8,286.6,286.6,36122
26/01/2000,286.8,287.5,284.7,286.5,19633
27/01/2000,286.2,287.5,285.6,287.1,14493
28/01/2000,289.6,290.7,283,286,15193
31/01/2000,286,287.4,284.9,286.2,13450
01/02/2000,286,286.5,285,285.4,18559
02/02/2000,285.4,289.2,285.3,287.7,21679
03/02/2000,287.7,290.9,287,289.9,111565
04/02/2000,290.2,318.5,289.9,313,81002
07/02/2000,318,326.9,302,304.5,41222
08/02/2000,306,308,298.5,301.7,43956
09/02/2000,301.7,314,301.7,308.6,68353
10/02/2000,308.5,319,308.5,318.7,33896
11/02/2000,318.3,320.4,311,313.6,26794
14/02/2000,313.6,313.6,308.3,311,29195
15/02/2000,310.7,311.5,303.8,304.1,26789
16/02/2000,304.2,306,299.7,305,56335
17/02/2000,305.3,312.5,300,303.8,11809
18/02/2000,303.3,307.8,302,307.3,19378
22/02/2000,307.6,309.4,304.2,307.7,25886
23/02/2000,307.7,308.2,302.3,302.4,28337
24/02/2000,302.4,303.5,300.2,300.9,50881
25/02/2000,300.9,301.2,293.5,294.6,12399
28/02/2000,294.5,295.4,293.1,294.2,19656
29/02/2000,293.8,296.5,293.5,294.2,14909
01/03/2000,294.2,296.2,292.8,293.3,28152
02/03/2000,292.9,293.3,289.4,289.7,14362
03/03/2000,289.7,292.2,289.2,290.3,11764
06/03/2000,290.6,291.7,289.2,289.4,29350
07/03/2000,289.5,295.4,289.4,293.7,23098
08/03/2000,293.8,295,289.8,290.4,20155
09/03/2000,290,293,289.6,292.7,33677
10/03/2000,292.7,294,289.4,290,15867
13/03/2000,290,292.9,290,291.5,14104
14/03/2000,291.7,292.6,289.2,289.7,10300
15/03/2000,289.6,291,289.3,289.6,39830
16/03/2000,289.9,290.4,286.3,287,22018
17/03/2000,286.8,287,283.6,285,17900
20/03/2000,285,286.9,284.5,286.5,42694
21/03/2000,286.5,292,284.2,290.4,13804
22/03/2000,290.4,291.1,288.1,288.3,36661
23/03/2000,288.4,288.6,283.8,285.4,12053
24/03/2000,285.6,286.1,284.6,285.1,51450
27/03/2000,285.4,285.4,280.2,280.5,22148
28/03/2000,280.8,281.8,279.4,279.5,17775
29/03/2000,279.5,280.2,274.8,275.9,12107
30/03/2000,279,280.2,277.9,279.1,29784
31/03/2000,279.6,283,277.5,281.4,31833
03/04/2000,281.5,282,279.7,280.4,12345
04/04/2000,280.7,291.5,278.4,286.6,44068
05/04/2000,286.7,287.1,283.2,283.8,21139
06/04/2000,283.8,284.3,281.3,282.7,13216
07/04/2000,283,283.6,281.9,282.5,7865
10/04/2000,281.8,285,281.5,284,6784
11/04/2000,284.3,286,283.1,283.7,17914
